原始词语,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_17,COL_18,COL_19,COL_20,COL_21,COL_22,COL_23,COL_24,COL_25,COL_26,COL_27,COL_28,COL_29,COL_30,COL_31,COL_32,COL_33,COL_34,COL_35,COL_36,COL_37,COL_38,COL_39,COL_40,COL_41,COL_42,COL_43,COL_44,COL_45,COL_46,COL_47,COL_48,COL_49,COL_50,COL_51,COL_52,COL_53,COL_54,COL_55,COL_56,COL_57,COL_58,COL_59,COL_60,COL_61,COL_62,COL_63,COL_64,COL_65,COL_66,COL_67,COL_68,COL_69,COL_70,COL_71,COL_72,COL_73,COL_74,COL_75,COL_76,COL_77,COL_78,COL_79,COL_80,COL_81,COL_82,COL_83,COL_84,COL_85,COL_86,COL_87,COL_88,COL_89,COL_90,COL_91,COL_92,COL_93,COL_94,COL_95
不言不語,不言語不,不不言語,不不語言,不語言不,不語不言,言不不語,言不語不,言不不語,言不語不,言語不不,言語不不,不不言語,不不語言,不言不語,不言語不,不語不言,不語言不,語不言不,語不不言,語言不不,語言不不,語不不言,語不言不,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豊年満作,豊年作満,豊満年作,豊満作年,豊作年満,豊作満年,年豊満作,年豊作満,年満豊作,年満作豊,年作豊満,年作満豊,満豊年作,満豊作年,満年豊作,満年作豊,満作豊年,満作年豊,作豊年満,作豊満年,作年豊満,作年満豊,作満豊年,作満年豊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
満身全霊,満身霊全,満全身霊,満全霊身,満霊身全,満霊全身,身満全霊,身満霊全,身全満霊,身全霊満,身霊満全,身霊全満,全満身霊,全満霊身,全身満霊,全身霊満,全霊満身,全霊身満,霊満身全,霊満全身,霊身満全,霊身全満,霊全満身,霊全身満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無病長寿,無病寿長,無長病寿,無長寿病,無寿病長,無寿長病,病無長寿,病無寿長,病長無寿,病長寿無,病寿無長,病寿長無,長無病寿,長無寿病,長病無寿,長病寿無,長寿無病,長寿病無,寿無病長,寿無長病,寿病無長,寿病長無,寿長無病,寿長病無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名実相伴,名実伴相,名相実伴,名相伴実,名伴実相,名伴相実,実名相伴,実名伴相,実相名伴,実相伴名,実伴名相,実伴相名,相名実伴,相名伴実,相実名伴,相実伴名,相伴名実,相伴実名,伴名実相,伴名相実,伴実名相,伴実相名,伴相名実,伴相実名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明々白々,明々々白,明白々々,明白々々,明々々白,明々白々,々明白々,々明々白,々白明々,々白々明,々々明白,々々白明,白明々々,白明々々,白々明々,白々々明,白々明々,白々々明,々明々白,々明白々,々々明白,々々白明,々白明々,々白々明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明朗快活,明朗活快,明快朗活,明快活朗,明活朗快,明活快朗,朗明快活,朗明活快,朗快明活,朗快活明,朗活明快,朗活快明,快明朗活,快明活朗,快朗明活,快朗活明,快活明朗,快活朗明,活明朗快,活明快朗,活朗明快,活朗快明,活快明朗,活快朗明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
面従腹背,面従背腹,面腹従背,面腹背従,面背従腹,面背腹従,従面腹背,従面背腹,従腹面背,従腹背面,従背面腹,従背腹面,腹面従背,腹面背従,腹従面背,腹従背面,腹背面従,腹背従面,背面従腹,背面腹従,背従面腹,背従腹面,背腹面従,背腹従面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇気凛凛,勇気凛凛,勇凛気凛,勇凛凛気,勇凛気凛,勇凛凛気,気勇凛凛,気勇凛凛,気凛勇凛,気凛凛勇,気凛勇凛,気凛凛勇,凛勇気凛,凛勇凛気,凛気勇凛,凛気凛勇,凛凛勇気,凛凛気勇,凛勇気凛,凛勇凛気,凛気勇凛,凛気凛勇,凛凛勇気,凛凛気勇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有名無実,有名実無,有無名実,有無実名,有実名無,有実無名,名有無実,名有実無,名無有実,名無実有,名実有無,名実無有,無有名実,無有実名,無名有実,無名実有,無実有名,無実名有,実有名無,実有無名,実名有無,実名無有,実無有名,実無名有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷霆万鈞,雷霆鈞万,雷万霆鈞,雷万鈞霆,雷鈞霆万,雷鈞万霆,霆雷万鈞,霆雷鈞万,霆万雷鈞,霆万鈞雷,霆鈞雷万,霆鈞万雷,万雷霆鈞,万雷鈞霆,万霆雷鈞,万霆鈞雷,万鈞雷霆,万鈞霆雷,鈞雷霆万,鈞雷万霆,鈞霆雷万,鈞霆万雷,鈞万雷霆,鈞万霆雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和気藹々,和気々藹,和藹気々,和藹々気,和々気藹,和々藹気,気和藹々,気和々藹,気藹和々,気藹々和,気々和藹,気々藹和,藹和気々,藹和々気,藹気和々,藹気々和,藹々和気,藹々気和,々和気藹,々和藹気,々気和藹,々気藹和,々藹和気,々藹気和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛別離苦,愛別苦離,愛離別苦,愛離苦別,愛苦別離,愛苦離別,別愛離苦,別愛苦離,別離愛苦,別離苦愛,別苦愛離,別苦離愛,離愛別苦,離愛苦別,離別愛苦,離別苦愛,離苦愛別,離苦別愛,苦愛別離,苦愛離別,苦別愛離,苦別離愛,苦離愛別,苦離別愛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悪口雑言,悪口言雑,悪雑口言,悪雑言口,悪言口雑,悪言雑口,口悪雑言,口悪言雑,口雑悪言,口雑言悪,口言悪雑,口言雑悪,雑悪口言,雑悪言口,雑口悪言,雑口言悪,雑言悪口,雑言口悪,言悪口雑,言悪雑口,言口悪雑,言口雑悪,言雑悪口,言雑口悪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安穏無事,安穏事無,安無穏事,安無事穏,安事穏無,安事無穏,穏安無事,穏安事無,穏無安事,穏無事安,穏事安無,穏事無安,無安穏事,無安事穏,無穏安事,無穏事安,無事安穏,無事穏安,事安穏無,事安無穏,事穏安無,事穏無安,事無安穏,事無穏安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暗雲低迷,暗雲迷低,暗低雲迷,暗低迷雲,暗迷雲低,暗迷低雲,雲暗低迷,雲暗迷低,雲低暗迷,雲低迷暗,雲迷暗低,雲迷低暗,低暗雲迷,低暗迷雲,低雲暗迷,低雲迷暗,低迷暗雲,低迷雲暗,迷暗雲低,迷暗低雲,迷雲暗低,迷雲低暗,迷低暗雲,迷低雲暗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以心為心,以心心為,以為心心,以為心心,以心心為,以心為心,心以為心,心以心為,心為以心,心為心以,心心以為,心心為以,為以心心,為以心心,為心以心,為心心以,為心以心,為心心以,心以心為,心以為心,心心以為,心心為以,心為以心,心為心以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
異体同心,異体心同,異同体心,異同心体,異心体同,異心同体,体異同心,体異心同,体同異心,体同心異,体心異同,体心同異,同異体心,同異心体,同体異心,同体心異,同心異体,同心体異,心異体同,心異同体,心体異同,心体同異,心同異体,心同体異,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因循姑息,因循息姑,因姑循息,因姑息循,因息循姑,因息姑循,循因姑息,循因息姑,循姑因息,循姑息因,循息因姑,循息姑因,姑因循息,姑因息循,姑循因息,姑循息因,姑息因循,姑息循因,息因循姑,息因姑循,息循因姑,息循姑因,息姑因循,息姑循因,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽毛矢石,羽毛石矢,羽矢毛石,羽矢石毛,羽石毛矢,羽石矢毛,毛羽矢石,毛羽石矢,毛矢羽石,毛矢石羽,毛石羽矢,毛石矢羽,矢羽毛石,矢羽石毛,矢毛羽石,矢毛石羽,矢石羽毛,矢石毛羽,石羽毛矢,石羽矢毛,石毛羽矢,石毛矢羽,石矢羽毛,石矢毛羽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
運否天賦,運否賦天,運天否賦,運天賦否,運賦否天,運賦天否,否運天賦,否運賦天,否天運賦,否天賦運,否賦運天,否賦天運,天運否賦,天運賦否,天否運賦,天否賦運,天賦運否,天賦否運,賦運否天,賦運天否,賦否運天,賦否天運,賦天運否,賦天否運,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栄達栄耀,栄達耀栄,栄栄達耀,栄栄耀達,栄耀達栄,栄耀栄達,達栄栄耀,達栄耀栄,達栄栄耀,達栄耀栄,達耀栄栄,達耀栄栄,栄栄達耀,栄栄耀達,栄達栄耀,栄達耀栄,栄耀栄達,栄耀達栄,耀栄達栄,耀栄栄達,耀達栄栄,耀達栄栄,耀栄栄達,耀栄達栄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英姿颯爽,英姿爽颯,英颯姿爽,英颯爽姿,英爽姿颯,英爽颯姿,姿英颯爽,姿英爽颯,姿颯英爽,姿颯爽英,姿爽英颯,姿爽颯英,颯英姿爽,颯英爽姿,颯姿英爽,颯姿爽英,颯爽英姿,颯爽姿英,爽英姿颯,爽英颯姿,爽姿英颯,爽姿颯英,爽颯英姿,爽颯姿英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縁木求魚,縁木魚求,縁求木魚,縁求魚木,縁魚木求,縁魚求木,木縁求魚,木縁魚求,木求縁魚,木求魚縁,木魚縁求,木魚求縁,求縁木魚,求縁魚木,求木縁魚,求木魚縁,求魚縁木,求魚木縁,魚縁木求,魚縁求木,魚木縁求,魚木求縁,魚求縁木,魚求木縁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王道楽土,王道土楽,王楽道土,王楽土道,王土道楽,王土楽道,道王楽土,道王土楽,道楽王土,道楽土王,道土王楽,道土楽王,楽王道土,楽王土道,楽道王土,楽道土王,楽土王道,楽土道王,土王道楽,土王楽道,土道王楽,土道楽王,土楽王道,土楽道王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温柔敦厚,温柔厚敦,温敦柔厚,温敦厚柔,温厚柔敦,温厚敦柔,柔温敦厚,柔温厚敦,柔敦温厚,柔敦厚温,柔厚温敦,柔厚敦温,敦温柔厚,敦温厚柔,敦柔温厚,敦柔厚温,敦厚温柔,敦厚柔温,厚温柔敦,厚温敦柔,厚柔温敦,厚柔敦温,厚敦温柔,厚敦柔温,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花紅柳緑,花紅緑柳,花柳紅緑,花柳緑紅,花緑紅柳,花緑柳紅,紅花柳緑,紅花緑柳,紅柳花緑,紅柳緑花,紅緑花柳,紅緑柳花,柳花紅緑,柳花緑紅,柳紅花緑,柳紅緑花,柳緑花紅,柳緑紅花,緑花紅柳,緑花柳紅,緑紅花柳,緑紅柳花,緑柳花紅,緑柳紅花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海千山千,海千千山,海山千千,海山千千,海千千山,海千山千,千海山千,千海千山,千山海千,千山千海,千千海山,千千山海,山海千千,山海千千,山千海千,山千千海,山千海千,山千千海,千海千山,千海山千,千千海山,千千山海,千山海千,千山千海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
改過自新,改過新自,改自過新,改自新過,改新過自,改新自過,過改自新,過改新自,過自改新,過自新改,過新改自,過新自改,自改過新,自改新過,自過改新,自過新改,自新改過,自新過改,新改過自,新改自過,新過改自,新過自改,新自改過,新自過改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隔靴掻痒,隔靴痒掻,隔掻靴痒,隔掻痒靴,隔痒靴掻,隔痒掻靴,靴隔掻痒,靴隔痒掻,靴掻隔痒,靴掻痒隔,靴痒隔掻,靴痒掻隔,掻隔靴痒,掻隔痒靴,掻靴隔痒,掻靴痒隔,掻痒隔靴,掻痒靴隔,痒隔靴掻,痒隔掻靴,痒靴隔掻,痒靴掻隔,痒掻隔靴,痒掻靴隔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乾坤一擲,乾坤擲一,乾一坤擲,乾一擲坤,乾擲坤一,乾擲一坤,坤乾一擲,坤乾擲一,坤一乾擲,坤一擲乾,坤擲乾一,坤擲一乾,一乾坤擲,一乾擲坤,一坤乾擲,一坤擲乾,一擲乾坤,一擲坤乾,擲乾坤一,擲乾一坤,擲坤乾一,擲坤一乾,擲一乾坤,擲一坤乾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
閑話休題,閑話題休,閑休話題,閑休題話,閑題話休,閑題休話,話閑休題,話閑題休,話休閑題,話休題閑,話題閑休,話題休閑,休閑話題,休閑題話,休話閑題,休話題閑,休題閑話,休題話閑,題閑話休,題閑休話,題話閑休,題話休閑,題休閑話,題休話閑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奇想奇策,奇想策奇,奇奇想策,奇奇策想,奇策想奇,奇策奇想,想奇奇策,想奇策奇,想奇奇策,想奇策奇,想策奇奇,想策奇奇,奇奇想策,奇奇策想,奇想奇策,奇想策奇,奇策奇想,奇策想奇,策奇想奇,策奇奇想,策想奇奇,策想奇奇,策奇奇想,策奇想奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
希代珍宝,希代宝珍,希珍代宝,希珍宝代,希宝代珍,希宝珍代,代希珍宝,代希宝珍,代珍希宝,代珍宝希,代宝希珍,代宝珍希,珍希代宝,珍希宝代,珍代希宝,珍代宝希,珍宝希代,珍宝代希,宝希代珍,宝希珍代,宝代希珍,宝代珍希,宝珍希代,宝珍代希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
気炎万丈,気炎丈万,気万炎丈,気万丈炎,気丈炎万,気丈万炎,炎気万丈,炎気丈万,炎万気丈,炎万丈気,炎丈気万,炎丈万気,万気炎丈,万気丈炎,万炎気丈,万炎丈気,万丈気炎,万丈炎気,丈気炎万,丈気万炎,丈炎気万,丈炎万気,丈万気炎,丈万炎気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
気宇壮大,気宇大壮,気壮宇大,気壮大宇,気大宇壮,気大壮宇,宇気壮大,宇気大壮,宇壮気大,宇壮大気,宇大気壮,宇大壮気,壮気宇大,壮気大宇,壮宇気大,壮宇大気,壮大気宇,壮大宇気,大気宇壮,大気壮宇,大宇気壮,大宇壮気,大壮気宇,大壮宇気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
気骨稜稜,気骨稜稜,気稜骨稜,気稜稜骨,気稜骨稜,気稜稜骨,骨気稜稜,骨気稜稜,骨稜気稜,骨稜稜気,骨稜気稜,骨稜稜気,稜気骨稜,稜気稜骨,稜骨気稜,稜骨稜気,稜稜気骨,稜稜骨気,稜気骨稜,稜気稜骨,稜骨気稜,稜骨稜気,稜稜気骨,稜稜骨気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旧態依然,旧態然依,旧依態然,旧依然態,旧然態依,旧然依態,態旧依然,態旧然依,態依旧然,態依然旧,態然旧依,態然依旧,依旧態然,依旧然態,依態旧然,依態然旧,依然旧態,依然態旧,然旧態依,然旧依態,然態旧依,然態依旧,然依旧態,然依態旧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恐悦至極,恐悦極至,恐至悦極,恐至極悦,恐極悦至,恐極至悦,悦恐至極,悦恐極至,悦至恐極,悦至極恐,悦極恐至,悦極至恐,至恐悦極,至恐極悦,至悦恐極,至悦極恐,至極恐悦,至極悦恐,極恐悦至,極恐至悦,極悦恐至,極悦至恐,極至恐悦,極至悦恐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驚天動地,驚天地動,驚動天地,驚動地天,驚地天動,驚地動天,天驚動地,天驚地動,天動驚地,天動地驚,天地驚動,天地動驚,動驚天地,動驚地天,動天驚地,動天地驚,動地驚天,動地天驚,地驚天動,地驚動天,地天驚動,地天動驚,地動驚天,地動天驚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金石之交,金石交之,金之石交,金之交石,金交石之,金交之石,石金之交,石金交之,石之金交,石之交金,石交金之,石交之金,之金石交,之金交石,之石金交,之石交金,之交金石,之交石金,交金石之,交金之石,交石金之,交石之金,交之金石,交之石金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勤勉実直,勤勉直実,勤実勉直,勤実直勉,勤直勉実,勤直実勉,勉勤実直,勉勤直実,勉実勤直,勉実直勤,勉直勤実,勉直実勤,実勤勉直,実勤直勉,実勉勤直,実勉直勤,実直勤勉,実直勉勤,直勤勉実,直勤実勉,直勉勤実,直勉実勤,直実勤勉,直実勉勤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空中分解,空中解分,空分中解,空分解中,空解中分,空解分中,中空分解,中空解分,中分空解,中分解空,中解空分,中解分空,分空中解,分空解中,分中空解,分中解空,分解空中,分解中空,解空中分,解空分中,解中空分,解中分空,解分空中,解分中空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傾城傾国,傾城国傾,傾傾城国,傾傾国城,傾国城傾,傾国傾城,城傾傾国,城傾国傾,城傾傾国,城傾国傾,城国傾傾,城国傾傾,傾傾城国,傾傾国城,傾城傾国,傾城国傾,傾国傾城,傾国城傾,国傾城傾,国傾傾城,国城傾傾,国城傾傾,国傾傾城,国傾城傾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月下氷人,月下人氷,月氷下人,月氷人下,月人下氷,月人氷下,下月氷人,下月人氷,下氷月人,下氷人月,下人月氷,下人氷月,氷月下人,氷月人下,氷下月人,氷下人月,氷人月下,氷人下月,人月下氷,人月氷下,人下月氷,人下氷月,人氷月下,人氷下月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
献身尽力,献身力尽,献尽身力,献尽力身,献力身尽,献力尽身,身献尽力,身献力尽,身尽献力,身尽力献,身力献尽,身力尽献,尽献身力,尽献力身,尽身献力,尽身力献,尽力献身,尽力身献,力献身尽,力献尽身,力身献尽,力身尽献,力尽献身,力尽身献,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厳冬酷暑,厳冬暑酷,厳酷冬暑,厳酷暑冬,厳暑冬酷,厳暑酷冬,冬厳酷暑,冬厳暑酷,冬酷厳暑,冬酷暑厳,冬暑厳酷,冬暑酷厳,酷厳冬暑,酷厳暑冬,酷冬厳暑,酷冬暑厳,酷暑厳冬,酷暑冬厳,暑厳冬酷,暑厳酷冬,暑冬厳酷,暑冬酷厳,暑酷厳冬,暑酷冬厳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見参入道,見参道入,見入参道,見入道参,見道参入,見道入参,参見入道,参見道入,参入見道,参入道見,参道見入,参道入見,入見参道,入見道参,入参見道,入参道見,入道見参,入道参見,道見参入,道見入参,道参見入,道参入見,道入見参,道入参見,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行雲流水,行雲水流,行流雲水,行流水雲,行水雲流,行水流雲,雲行流水,雲行水流,雲流行水,雲流水行,雲水行流,雲水流行,流行雲水,流行水雲,流雲行水,流雲水行,流水行雲,流水雲行,水行雲流,水行流雲,水雲行流,水雲流行,水流行雲,水流雲行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厚積薄発,厚積発薄,厚薄積発,厚薄発積,厚発積薄,厚発薄積,積厚薄発,積厚発薄,積薄厚発,積薄発厚,積発厚薄,積発薄厚,薄厚積発,薄厚発積,薄積厚発,薄積発厚,薄発厚積,薄発積厚,発厚積薄,発厚薄積,発積厚薄,発積薄厚,発薄厚積,発薄積厚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荒唐無稽,荒唐稽無,荒無唐稽,荒無稽唐,荒稽唐無,荒稽無唐,唐荒無稽,唐荒稽無,唐無荒稽,唐無稽荒,唐稽荒無,唐稽無荒,無荒唐稽,無荒稽唐,無唐荒稽,無唐稽荒,無稽荒唐,無稽唐荒,稽荒唐無,稽荒無唐,稽唐荒無,稽唐無荒,稽無荒唐,稽無唐荒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼓腹撃壌,鼓腹壌撃,鼓撃腹壌,鼓撃壌腹,鼓壌腹撃,鼓壌撃腹,腹鼓撃壌,腹鼓壌撃,腹撃鼓壌,腹撃壌鼓,腹壌鼓撃,腹壌撃鼓,撃鼓腹壌,撃鼓壌腹,撃腹鼓壌,撃腹壌鼓,撃壌鼓腹,撃壌腹鼓,壌鼓腹撃,壌鼓撃腹,壌腹鼓撃,壌腹撃鼓,壌撃鼓腹,壌撃腹鼓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
